# wave     flux
       3093.0000   -0.0023300000
       3096.0000       2.7900000
       3099.0000      -2.0800000
       3102.0000      -4.3000000
       3105.0000       3.6500000
       3108.0000      -4.7000000
       3111.3300       1.4900000
       3115.0000       7.9700000
       3118.3300      0.82700000
       3122.0000       2.6500000
       3125.0000      0.76600000
       3128.0000       1.0700000
       3131.0000       5.9600000
       3134.0000       4.2200000
       3137.0000       6.1400000
       3141.0000      0.54100000
       3145.0000       1.9000000
       3148.0000       3.1500000
       3151.3300       2.5400000
       3155.0000       1.7400000
       3158.0000      -2.8900000
       3161.0000       5.4400000
       3164.3300       2.8900000
       3168.3300      -1.3500000
       3172.0000      -3.3000000
       3175.0000       1.6700000
       3178.0000       4.1500000
       3181.3300       3.2400000
       3185.0000      -4.5500000
       3188.0000       3.1900000
       3191.6700     -0.22400000
       3195.0000      -3.2800000
       3198.0000       3.7300000
       3201.3300      0.34100000
       3206.0000       1.9600000
       3209.0000       2.4100000
       3212.0000      0.43200000
       3215.0000      0.65200000
       3218.0000      0.91900000
       3221.0000       1.2300000
       3224.0000      0.92700000
       3227.0000       3.5200000
       3230.0000       1.8900000
       3233.0000       1.1400000
       3236.0000       1.4400000
       3239.0000       2.9200000
       3242.0000       2.8400000
       3245.0000      0.64600000
       3248.0000      0.63100000
       3251.0000       2.7500000
       3254.0000       3.6800000
       3257.0000       1.3600000
       3260.0000    -0.058000000
       3263.0000       3.3800000
       3266.0000      0.10200000
       3269.0000       2.0500000
       3278.3300       4.4100000
       3294.0000       3.4400000
       3297.0000       2.7100000
       3300.0000       2.1600000
       3303.0000       1.8300000
       3306.0000       2.2500000
       3309.0000       1.9200000
       3312.0000       2.5300000
       3315.0000       2.6100000
       3318.0000      0.71900000
       3321.0000       2.8800000
       3324.0000       2.8900000
       3327.0000       2.1200000
       3330.0000       1.5900000
       3333.0000       2.4200000
       3336.0000       2.8300000
       3339.0000       2.9200000
       3342.0000       4.0500000
       3345.0000       4.5700000
       3348.0000       1.9500000
       3351.0000       3.7800000
       3354.0000       2.6600000
       3357.0000       1.6000000
       3360.0000       2.7700000
       3363.0000       3.8300000
       3366.0000       3.4100000
       3369.0000       2.6100000
       3372.0000       2.7900000
       3375.0000       2.2400000
       3378.0000       3.2200000
       3381.0000       4.2900000
       3384.0000       3.7400000
       3387.0000       3.5100000
       3390.0000       3.3300000
       3393.0000       2.6300000
       3396.0000       2.1300000
       3399.0000       2.5400000
       3402.0000       3.0100000
       3405.0000       2.0300000
       3408.0000       2.4200000
       3411.0000       2.2300000
       3414.0000       2.0700000
       3417.0000       2.2900000
       3420.0000       1.2600000
       3423.0000       1.7300000
       3426.0000       2.9500000
       3429.0000       3.6100000
       3432.0000       1.4400000
       3435.0000       1.7100000
       3438.0000       2.7900000
       3441.0000       2.0300000
       3444.0000       2.8200000
       3447.0000       2.3800000
       3450.0000       2.2300000
       3453.0000       1.3900000
       3456.0000       1.8500000
       3459.0000       2.2500000
       3462.0000       2.4300000
       3465.0000       2.5600000
       3468.0000       2.0600000
       3471.0000       2.3800000
       3474.0000       1.5200000
       3477.0000       2.3500000
       3480.0000       3.9300000
       3483.0000       3.1100000
       3486.0000       2.1100000
       3489.0000       2.8400000
       3492.0000       2.4600000
       3495.0000       2.5100000
       3498.0000       2.6000000
       3501.0000       3.1300000
       3504.0000       2.9500000
       3507.0000       2.4500000
       3510.0000       1.6900000
       3513.0000       1.6100000
       3516.0000       1.6000000
       3519.0000       1.4700000
       3522.0000       1.9500000
       3525.0000       1.5700000
       3528.0000       2.1300000
       3531.0000       2.3700000
       3534.0000       2.7100000
       3537.0000       2.7200000
       3540.0000       2.2000000
       3543.0000       2.3600000
       3546.0000       2.5700000
       3549.0000       2.0900000
       3552.0000       2.7600000
       3555.0000       2.4100000
       3558.0000       2.5800000
       3561.0000       2.9400000
       3564.0000       3.0900000
       3567.0000       3.0200000
       3570.0000       2.3400000
       3573.0000       2.4500000
       3576.0000       1.6400000
       3579.0000       2.0000000
       3582.0000       2.4300000
       3585.0000       2.3900000
       3588.0000       2.5300000
       3591.0000       2.5600000
       3594.0000       1.7500000
       3597.0000       2.6800000
       3600.0000       3.2600000
       3603.0000       3.1600000
       3606.0000       2.4600000
       3609.0000       1.9100000
       3612.0000       2.9500000
       3615.0000       2.6000000
       3618.0000       2.2900000
       3621.0000       2.7900000
       3624.0000       2.8800000
       3627.0000       1.9800000
       3630.0000       1.9300000
       3633.0000       1.6100000
       3636.0000       1.7000000
       3639.0000       1.5700000
       3642.0000       1.3600000
       3645.0000       1.7200000
       3648.0000       1.7900000
       3651.0000       2.5100000
       3654.0000       1.8200000
       3657.0000       1.5700000
       3660.0000       2.8500000
       3663.0000       3.1800000
       3666.0000       1.5900000
       3669.0000       1.3100000
       3672.0000       2.2200000
       3675.0000       1.6900000
       3678.0000       1.7000000
       3681.0000       2.9900000
       3684.0000       3.0400000
       3687.0000       2.4400000
       3690.0000       3.2400000
       3693.0000       2.5500000
       3696.0000       1.6900000
       3699.0000       2.2800000
       3702.0000       2.7900000
       3705.0000       2.1600000
       3708.0000       2.5800000
       3711.0000       2.4600000
       3714.0000       1.1100000
       3717.0000       2.0600000
       3720.0000       1.9800000
       3723.0000       1.6100000
       3726.0000       2.0700000
       3729.0000       2.2600000
       3732.0000       2.9100000
       3735.0000       2.4000000
       3738.0000       1.8400000
       3741.0000       1.8800000
       3744.0000       2.4300000
       3747.0000       2.9700000
       3750.0000       2.6200000
       3753.0000       2.5900000
       3756.0000       2.5400000
       3759.0000       2.4900000
       3762.0000       2.0100000
       3765.0000       2.5500000
       3768.0000       1.3400000
       3771.0000       1.2300000
       3774.0000       1.3200000
       3777.0000       2.1600000
       3780.0000       2.2800000
       3783.0000       3.9300000
       3786.0000       2.7000000
       3789.0000       2.0100000
       3792.0000       2.0700000
       3795.0000       2.1700000
       3798.0000       1.9700000
       3801.0000       2.6100000
       3804.0000       2.1300000
       3807.0000       1.7000000
       3810.0000       2.0900000
       3813.0000       2.3800000
       3816.0000       2.8200000
       3819.0000       3.5100000
       3822.0000       2.9400000
       3825.0000       1.9200000
       3828.0000       2.4000000
       3831.0000       2.7200000
       3834.0000       2.3400000
       3837.0000       2.1100000
       3840.0000       2.0600000
       3843.0000       2.3200000
       3846.0000       2.3200000
       3849.0000       2.6900000
       3852.0000       2.1600000
       3855.0000       2.6400000
       3858.0000       2.7400000
       3861.0000       2.5100000
       3864.0000       2.0800000
       3867.0000       2.3600000
       3870.0000       2.2700000
       3873.0000       2.0100000
       3876.0000       2.6200000
       3879.0000       2.1200000
       3882.0000       2.5100000
       3885.0000       3.0200000
       3888.0000       1.8700000
       3891.0000       2.4000000
       3894.0000       2.3400000
       3897.0000       2.6600000
       3900.0000       2.9800000
       3903.0000       1.5200000
       3906.0000       2.2000000
       3909.0000       2.9200000
       3912.0000       2.8200000
       3915.0000       2.5200000
       3918.0000       2.5100000
       3921.0000       2.1700000
       3924.0000       2.3100000
       3927.0000       2.3800000
       3930.0000       3.0400000
       3933.0000       2.2900000
       3936.0000       1.3100000
       3939.0000       2.0900000
       3942.0000       2.3300000
       3945.0000       2.4000000
       3948.0000       2.6500000
       3951.0000       2.3300000
       3954.0000       2.0600000
       3957.0000       2.7500000
       3960.0000       3.2300000
       3963.0000       1.9000000
       3966.0000       2.6400000
       3969.0000       3.7500000
       3972.0000       2.3700000
       3975.0000       2.4500000
       3978.0000       2.8600000
       3981.0000       2.4200000
       3984.0000       2.2200000
       3987.0000       2.3300000
       3990.0000       2.2600000
       3993.0000       2.7300000
       3996.0000       2.3000000
       3999.0000       2.3300000
       4002.0000       3.2700000
       4005.0000       2.6600000
       4008.0000       2.4900000
       4011.0000       2.2400000
       4014.0000       2.7600000
       4017.0000       2.4200000
       4020.0000       2.6900000
       4023.0000       2.4700000
       4026.0000       2.4500000
       4029.0000       3.1400000
       4032.0000       2.8300000
       4035.0000       2.7500000
       4038.0000       3.3800000
       4041.0000       2.8300000
       4044.0000       2.8800000
       4047.0000       2.9500000
       4050.0000       2.3400000
       4053.0000       2.0200000
       4056.0000       2.4500000
       4059.0000       2.5600000
       4062.0000       2.5800000
       4065.0000       2.2500000
       4068.0000       2.8400000
       4071.0000       3.2700000
       4074.0000       2.2100000
       4077.0000       2.5200000
       4080.0000       2.8700000
       4083.0000       3.1900000
       4086.0000       3.1700000
       4089.0000       3.2100000
       4092.0000       2.9000000
       4095.0000       3.3200000
       4098.0000       2.5100000
       4101.0000       2.6100000
       4104.0000       2.6800000
       4107.0000       2.6300000
       4110.0000       2.6300000
       4113.0000       2.6300000
       4116.0000       2.7000000
       4119.0000       2.4300000
       4122.0000       2.4900000
       4125.0000       2.1400000
       4128.0000       1.9400000
       4131.0000       2.3700000
       4134.0000       2.5200000
       4137.0000       2.4300000
       4140.0000       2.5400000
       4143.0000       2.2500000
       4146.0000       2.7300000
       4149.0000       2.6500000
       4152.0000       2.3700000
       4155.0000       2.1200000
       4158.0000       2.1900000
       4161.0000       2.6300000
       4164.0000       3.2000000
       4167.0000       2.8200000
       4170.0000       2.3100000
       4173.0000       1.9500000
       4176.0000       2.9600000
       4179.0000       2.3300000
       4182.0000       2.4300000
       4185.0000       2.5600000
       4188.0000       2.8400000
       4191.0000       2.2700000
       4194.0000       2.7100000
       4197.0000       2.5800000
       4200.0000       2.2100000
       4203.0000       2.4500000
       4206.0000       2.6400000
       4209.0000       2.3200000
       4212.0000       2.1600000
       4215.0000       2.4400000
       4218.0000       2.9000000
       4221.0000       2.9900000
       4224.0000       2.8200000
       4227.0000       2.7800000
       4230.0000       2.8600000
       4233.0000       2.6200000
       4236.0000       2.2200000
       4239.0000       2.1000000
       4242.0000       2.0300000
       4245.0000       2.1300000
       4248.0000       1.9400000
       4251.0000       2.2500000
       4254.0000       2.6000000
       4257.0000       2.7900000
       4260.0000       2.6400000
       4263.0000       2.5900000
       4266.0000       1.9800000
       4269.0000       1.9900000
       4272.0000       1.7700000
       4275.0000       1.9400000
       4278.0000       2.3000000
       4281.0000       2.7400000
       4284.0000       3.0500000
       4287.0000       2.2600000
       4290.0000       2.1300000
       4293.0000       2.2100000
       4296.0000       2.5500000
       4299.0000       2.5700000
       4302.0000       1.8600000
       4305.0000       2.2600000
       4308.0000       2.9100000
       4311.0000       2.0000000
       4314.0000       2.2300000
       4317.0000       2.3500000
       4320.0000       2.3600000
       4323.0000       2.2200000
       4326.0000       2.5300000
       4329.0000       2.2300000
       4332.0000       2.8000000
       4335.0000       2.9800000
       4338.0000       2.8600000
       4341.0000       2.0400000
       4344.0000       1.9500000
       4347.0000       2.5100000
       4350.0000       2.5300000
       4353.0000       2.5800000
       4356.0000       2.6300000
       4359.0000       2.2100000
       4362.0000       1.8200000
       4365.0000       1.9600000
       4368.0000       1.9200000
       4371.0000       2.2200000
       4374.0000       2.1700000
       4377.0000       2.2700000
       4380.0000       2.7700000
       4383.0000       2.2500000
       4386.0000       1.8600000
       4389.0000       2.3100000
       4392.0000       3.0900000
       4395.0000       2.6200000
       4398.0000       2.3200000
       4401.0000       2.3600000
       4404.0000       2.4800000
       4407.0000       2.5000000
       4410.0000       2.1900000
       4413.0000       2.1800000
       4416.0000       2.2500000
       4419.0000       2.7700000
       4422.0000       2.1500000
       4425.0000       2.2400000
       4428.0000       2.8100000
       4431.0000       2.0800000
       4434.0000       2.1500000
       4437.0000       2.7800000
       4440.0000       2.5400000
       4443.0000       2.4200000
       4446.0000       3.0300000
       4449.0000       2.6700000
       4452.0000       2.4400000
       4455.0000       1.8200000
       4458.0000       1.9200000
       4461.0000       2.3300000
       4464.0000       2.5100000
       4467.0000       2.1100000
       4470.0000       1.8600000
       4473.0000       2.3400000
       4476.0000       2.4000000
       4479.0000       2.3600000
       4482.0000       2.4500000
       4485.0000       2.5700000
       4488.0000       1.9100000
       4491.0000       1.8700000
       4494.0000       2.2900000
       4497.0000       2.8600000
       4500.0000       2.8100000
       4503.0000       2.5600000
       4506.0000       2.3100000
       4509.0000       2.3500000
       4512.0000       2.5400000
       4515.0000       2.2500000
       4518.0000       1.8100000
       4521.0000       2.2700000
       4524.0000       2.6400000
       4527.0000       2.8900000
       4530.0000       2.4800000
       4533.0000       2.9700000
       4536.0000       3.1100000
       4539.0000       2.8400000
       4542.0000       2.7600000
       4545.0000       2.7300000
       4548.0000       2.0100000
       4551.0000       1.9500000
       4554.0000       2.3100000
       4557.0000       2.4200000
       4560.0000       2.8000000
       4563.0000       2.5900000
       4566.0000       2.8500000
       4569.0000       3.1500000
       4572.0000       2.7700000
       4575.0000       2.4700000
       4578.0000       2.3700000
       4581.0000       2.6600000
       4584.0000       3.0600000
       4587.0000       2.9400000
       4590.0000       2.0700000
       4593.0000       2.2500000
       4596.0000       2.2200000
       4599.0000       2.4000000
       4602.0000       3.1200000
       4605.0000       3.2000000
       4608.0000       2.5700000
       4611.0000       2.4100000
       4614.0000       2.8600000
       4617.0000       2.6700000
       4620.0000       2.5600000
       4623.0000       2.1800000
       4626.0000       2.0400000
       4629.0000       2.2200000
       4632.0000       2.0100000
       4635.0000       1.6500000
       4638.0000       2.5200000
       4641.0000       2.9800000
       4644.0000       3.0600000
       4647.0000       2.5800000
       4650.0000       2.2500000
       4653.0000       2.3500000
       4656.0000       2.5600000
       4659.0000       2.7200000
       4662.0000       2.8100000
       4665.0000       2.7400000
       4668.0000       2.9600000
       4671.0000       2.7600000
       4674.0000       2.8700000
       4677.0000       2.6200000
       4680.0000       2.4500000
       4683.0000       2.5200000
       4686.0000       2.5100000
       4689.0000       2.1700000
       4692.0000       2.8300000
       4695.0000       3.0700000
       4698.0000       3.0000000
       4701.0000       2.4500000
       4704.0000       2.4000000
       4707.0000       2.9200000
       4710.0000       3.0500000
       4713.0000       3.0400000
       4716.0000       2.5700000
       4719.0000       2.3800000
       4722.0000       2.1200000
       4725.0000       2.1500000
       4728.0000       2.6200000
       4731.0000       2.7300000
       4734.0000       2.4600000
       4737.0000       2.7700000
       4740.0000       3.1100000
       4743.0000       2.9200000
       4746.0000       2.8000000
       4749.0000       2.9300000
       4752.0000       2.8200000
       4755.0000       2.7400000
       4758.0000       2.4400000
       4761.0000       2.0300000
       4764.0000       2.6800000
       4767.0000       2.5600000
       4770.0000       2.6800000
       4773.0000       2.5200000
       4776.0000       2.4100000
       4779.0000       2.3400000
       4782.0000       2.3600000
       4785.0000       2.3400000
       4788.0000       2.3600000
       4791.0000       1.9500000
       4794.0000       2.1900000
       4797.0000       2.5900000
       4800.0000       2.6800000
       4803.0000       2.7600000
       4806.0000       2.1700000
       4809.0000       2.7200000
       4812.0000       2.7100000
       4815.0000       2.3200000
       4818.0000       2.5000000
       4821.0000       2.7000000
       4824.0000       2.4900000
       4827.0000       2.3000000
       4830.0000       2.3700000
       4833.0000       2.4600000
       4836.0000       2.8400000
       4839.0000       2.8300000
       4842.0000       2.6800000
       4845.0000       2.8200000
       4848.0000       2.7500000
       4851.0000       2.4900000
       4854.0000       2.6500000
       4857.0000       2.7000000
       4860.0000       2.6500000
       4863.0000       2.4800000
       4866.0000       2.7100000
       4869.0000       2.8800000
       4872.0000       2.2600000
       4875.0000       2.4200000
       4878.0000       2.0800000
       4881.0000       2.0800000
       4884.0000       2.4400000
       4887.0000       2.8500000
       4890.0000       2.8700000
       4893.0000       2.5100000
       4896.0000       2.5500000
       4899.0000       2.0900000
       4902.0000       1.9300000
       4905.0000       3.2500000
       4908.0000       3.5600000
       4911.0000       1.9400000
       4914.0000       1.8900000
       4917.0000       2.4600000
       4920.0000       2.6700000
       4923.0000       2.6900000
       4926.0000       3.1700000
       4929.0000       2.2900000
       4932.0000       2.1300000
       4935.0000       2.8800000
       4938.0000       3.0400000
       4941.0000       2.1900000
       4944.0000       2.0900000
       4947.0000       2.1400000
       4950.0000       2.2100000
       4953.0000       2.0600000
       4956.0000       2.1600000
       4959.0000       2.6400000
       4962.0000       2.8700000
       4965.0000       2.2000000
       4968.0000       1.9100000
       4971.0000       2.1600000
       4974.0000       2.1200000
       4977.0000       1.7200000
       4980.0000       1.8000000
       4983.0000       3.0600000
       4986.0000       3.6200000
       4989.0000       3.2100000
       4992.0000       2.9900000
       4995.0000       2.9200000
       4998.0000       3.0000000
       5001.0000       2.5000000
       5004.0000       2.0100000
       5007.0000       2.2900000
       5010.0000       2.3600000
       5013.0000       1.9300000
       5016.0000       1.6800000
       5019.0000       2.2900000
       5022.0000       3.0800000
       5025.0000       3.1600000
       5028.0000       3.4000000
       5031.0000       3.1000000
       5034.0000       2.7300000
       5037.0000       1.8100000
       5040.0000       1.8000000
       5043.0000       2.0800000
       5046.0000       2.4900000
       5049.0000       2.1700000
       5052.0000       2.2400000
       5055.0000       2.3700000
       5058.0000       2.0700000
       5061.0000       2.2300000
       5064.0000       2.1600000
       5067.0000       2.3600000
       5070.0000       2.5400000
       5073.0000       2.5200000
       5076.0000       2.5000000
       5079.0000       3.1500000
       5082.0000       3.4900000
       5085.0000       2.7000000
       5088.0000       2.3100000
       5091.0000       2.5800000
       5094.0000       2.6600000
       5097.0000       2.7800000
       5100.0000       2.0000000
       5103.0000       2.0700000
       5106.0000       2.0800000
       5109.0000       2.3400000
       5112.0000       2.4800000
       5115.0000       2.3400000
       5118.0000       2.3700000
       5121.0000       1.7600000
       5124.0000       1.7300000
       5127.0000       2.1600000
       5130.0000       2.2700000
       5133.0000       2.1700000
       5136.0000       2.1700000
       5139.0000       2.3700000
       5142.0000       2.7800000
       5145.0000       2.2300000
       5148.0000       1.8900000
       5151.0000       2.4300000
       5154.0000       2.4200000
       5157.0000       1.6900000
       5160.0000       1.4700000
       5163.0000       2.2200000
       5166.0000       2.7800000
       5169.0000       1.7800000
       5172.0000       1.2700000
       5175.0000       2.3500000
       5178.0000       2.6000000
       5181.0000       2.3800000
       5184.0000       2.4400000
       5187.0000       2.4300000
       5190.0000       2.4800000
       5193.0000       2.2800000
       5196.0000       2.2700000
       5199.0000       2.6400000
       5202.0000       2.9900000
       5205.0000       2.9000000
