l(A) photons/cm2/s/A/arcsec^2
22.15 magnitude/arcsec^2
      3000.00 8.32387e-008
      3001.00 8.31617e-008
      3002.00 8.51196e-008
      3003.00 8.83338e-008
      3004.00 9.03819e-008
      3005.00 9.25237e-008
      3006.00 9.41733e-008
      3007.00 9.75768e-008
      3008.00 1.01673e-007
      3009.00 1.06358e-007
      3010.00 1.11867e-007
      3011.00 1.16588e-007
      3012.00 1.22636e-007
      3013.00 1.26864e-007
      3014.00 1.30154e-007
      3015.00 1.34420e-007
      3016.00 1.37169e-007
      3017.00 1.38804e-007
      3018.00 1.40412e-007
      3019.00 1.42100e-007
      3020.00 1.43992e-007
      3021.00 1.46885e-007
      3022.00 1.50656e-007
      3023.00 1.54167e-007
      3024.00 1.58426e-007
      3025.00 1.64175e-007
      3026.00 1.70006e-007
      3027.00 1.76473e-007
      3028.00 1.83449e-007
      3029.00 1.89059e-007
      3030.00 1.96585e-007
      3031.00 2.03145e-007
      3032.00 2.08496e-007
      3033.00 2.13511e-007
      3034.00 2.16884e-007
      3035.00 2.20473e-007
      3036.00 2.23845e-007
      3037.00 2.26993e-007
      3038.00 2.28565e-007
      3039.00 2.28096e-007
      3040.00 2.28620e-007
      3041.00 2.31111e-007
      3042.00 2.36754e-007
      3043.00 2.42784e-007
      3044.00 2.48189e-007
      3045.00 2.53057e-007
      3046.00 2.58844e-007
      3047.00 2.67632e-007
      3048.00 2.75715e-007
      3049.00 2.83757e-007
      3050.00 2.92779e-007
      3051.00 3.00601e-007
      3052.00 3.08230e-007
      3053.00 3.14300e-007
      3054.00 3.19057e-007
      3055.00 3.22641e-007
      3056.00 3.24046e-007
      3057.00 3.24503e-007
      3058.00 3.26056e-007
      3059.00 3.29520e-007
      3060.00 3.33414e-007
      3061.00 3.35593e-007
      3062.00 3.35255e-007
      3063.00 3.35198e-007
      3064.00 3.38329e-007
      3065.00 3.44884e-007
      3066.00 3.53250e-007
      3067.00 3.60944e-007
      3068.00 3.67148e-007
      3069.00 3.74203e-007
      3070.00 3.85137e-007
      3071.00 3.95507e-007
      3072.00 4.06127e-007
      3073.00 4.15205e-007
      3074.00 4.22433e-007
      3075.00 4.30828e-007
      3076.00 4.36459e-007
      3077.00 4.40334e-007
      3078.00 4.41407e-007
      3079.00 4.39184e-007
      3080.00 4.37937e-007
      3081.00 4.39078e-007
      3082.00 4.41511e-007
      3083.00 4.45903e-007
      3084.00 4.55165e-007
      3085.00 4.64222e-007
      3086.00 4.63661e-007
      3087.00 4.61290e-007
      3088.00 4.62054e-007
      3089.00 4.65219e-007
      3090.00 4.68977e-007
      3091.00 4.72551e-007
      3092.00 4.79770e-007
      3093.00 4.87107e-007
      3094.00 4.98686e-007
      3095.00 5.14212e-007
      3096.00 5.25336e-007
      3097.00 5.34710e-007
      3098.00 5.40588e-007
      3099.00 5.43053e-007
      3100.00 5.46163e-007
      3101.00 5.46701e-007
      3102.00 5.46454e-007
      3103.00 5.45387e-007
      3104.00 5.48736e-007
      3105.00 5.57836e-007
      3106.00 5.66245e-007
      3107.00 5.70893e-007
      3108.00 5.74449e-007
      3109.00 5.79294e-007
      3110.00 5.84381e-007
      3111.00 5.87681e-007
      3112.00 5.89628e-007
      3113.00 5.88070e-007
      3114.00 5.86902e-007
      3115.00 5.89069e-007
      3116.00 5.96761e-007
      3117.00 6.07340e-007
      3118.00 6.17781e-007
      3119.00 6.27549e-007
      3120.00 6.35530e-007
      3121.00 6.41705e-007
      3122.00 6.45563e-007
      3123.00 6.48971e-007
      3124.00 6.54520e-007
      3125.00 6.62037e-007
      3126.00 6.67741e-007
      3127.00 6.71865e-007
      3128.00 6.76095e-007
      3129.00 6.78788e-007
      3130.00 6.80562e-007
      3131.00 6.84144e-007
      3132.00 6.84177e-007
      3133.00 6.81947e-007
      3134.00 6.73817e-007
      3135.00 6.65365e-007
      3136.00 6.64513e-007
      3137.00 6.71413e-007
      3138.00 6.77947e-007
      3139.00 6.86412e-007
      3140.00 6.95691e-007
      3141.00 7.03717e-007
      3142.00 7.12917e-007
      3143.00 7.22164e-007
      3144.00 7.32845e-007
      3145.00 7.43758e-007
      3146.00 7.51114e-007
      3147.00 7.53790e-007
      3148.00 7.52783e-007
      3149.00 7.51543e-007
      3150.00 7.53098e-007
      3151.00 7.55494e-007
      3152.00 7.55530e-007
      3153.00 7.52943e-007
      3154.00 7.45553e-007
      3155.00 7.30382e-007
      3156.00 7.22011e-007
      3157.00 7.25865e-007
      3158.00 7.37422e-007
      3159.00 7.47724e-007
      3160.00 7.61002e-007
      3161.00 7.70038e-007
      3162.00 7.77282e-007
      3163.00 7.81954e-007
      3164.00 7.86547e-007
      3165.00 7.93028e-007
      3166.00 7.99803e-007
      3167.00 8.08480e-007
      3168.00 8.14456e-007
      3169.00 8.13931e-007
      3170.00 8.08289e-007
      3171.00 8.03460e-007
      3172.00 8.04755e-007
      3173.00 8.09740e-007
      3174.00 8.14127e-007
      3175.00 8.11977e-007
      3176.00 8.01464e-007
      3177.00 7.92416e-007
      3178.00 7.97809e-007
      3179.00 8.09657e-007
      3180.00 8.18668e-007
      3181.00 8.21326e-007
      3182.00 8.26601e-007
      3183.00 8.34743e-007
      3184.00 8.44567e-007
      3185.00 8.53282e-007
      3186.00 8.58830e-007
      3187.00 8.63583e-007
      3188.00 8.67321e-007
      3189.00 8.71420e-007
      3190.00 8.77876e-007
      3191.00 8.83231e-007
      3192.00 8.82733e-007
      3193.00 8.75920e-007
      3194.00 8.60933e-007
      3195.00 8.45700e-007
      3196.00 8.44507e-007
      3197.00 8.51525e-007
      3198.00 8.58031e-007
      3199.00 8.54511e-007
      3200.00 8.44746e-007
      3201.00 8.43903e-007
      3202.00 8.55523e-007
      3203.00 8.70874e-007
      3204.00 8.84212e-007
      3205.00 8.93682e-007
      3206.00 8.98877e-007
      3207.00 9.04507e-007
      3208.00 9.13082e-007
      3209.00 9.19817e-007
      3210.00 9.26672e-007
      3211.00 9.29734e-007
      3212.00 9.29481e-007
      3213.00 9.26812e-007
      3214.00 9.23505e-007
      3215.00 9.22323e-007
      3216.00 9.23091e-007
      3217.00 9.24162e-007
      3218.00 9.20205e-007
      3219.00 9.04460e-007
      3220.00 8.82018e-007
      3221.00 8.70710e-007
      3222.00 8.74857e-007
      3223.00 8.84652e-007
      3224.00 8.93546e-007
      3225.00 8.96942e-007
      3226.00 8.82845e-007
      3227.00 8.75316e-007
      3228.00 8.80549e-007
      3229.00 8.90958e-007
      3230.00 9.02927e-007
      3231.00 9.13632e-007
      3232.00 9.23436e-007
      3233.00 9.31526e-007
      3234.00 9.37859e-007
      3235.00 9.43766e-007
      3236.00 9.48204e-007
      3237.00 9.54261e-007
      3238.00 9.59357e-007
      3239.00 9.62336e-007
      3240.00 9.61940e-007
      3241.00 9.57823e-007
      3242.00 9.53175e-007
      3243.00 9.52196e-007
      3244.00 9.53878e-007
      3245.00 9.55809e-007
      3246.00 9.55174e-007
      3247.00 9.44369e-007
      3248.00 9.25378e-007
      3249.00 9.16274e-007
      3250.00 9.21440e-007
      3251.00 9.30937e-007
      3252.00 9.42444e-007
      3253.00 9.52184e-007
      3254.00 9.54739e-007
      3255.00 9.50885e-007
      3256.00 9.52487e-007
      3257.00 9.59820e-007
      3258.00 9.68553e-007
      3259.00 9.77181e-007
      3260.00 9.85373e-007
      3261.00 9.92392e-007
      3262.00 9.98479e-007
      3263.00 1.00354e-006
      3264.00 1.00721e-006
      3265.00 1.01088e-006
      3266.00 1.01412e-006
      3267.00 1.01572e-006
      3268.00 1.01667e-006
      3269.00 1.01576e-006
      3270.00 1.01121e-006
      3271.00 1.00365e-006
      3272.00 9.97122e-007
      3273.00 9.94936e-007
      3274.00 9.96365e-007
      3275.00 9.98959e-007
      3276.00 9.99864e-007
      3277.00 9.95438e-007
      3278.00 9.81010e-007
      3279.00 9.67911e-007
      3280.00 9.62547e-007
      3281.00 9.64781e-007
      3282.00 9.71634e-007
      3283.00 9.78942e-007
      3284.00 9.85586e-007
      3285.00 9.91911e-007
      3286.00 9.97358e-007
      3287.00 1.00452e-006
      3288.00 1.01110e-006
      3289.00 1.01662e-006
      3290.00 1.02157e-006
      3291.00 1.02617e-006
      3292.00 1.03044e-006
      3293.00 1.03396e-006
      3294.00 1.03693e-006
      3295.00 1.03927e-006
      3296.00 1.04062e-006
      3297.00 1.03950e-006
      3298.00 1.03905e-006
      3299.00 1.03899e-006
      3300.00 1.03874e-006
      3301.00 1.03597e-006
      3302.00 1.02770e-006
      3303.00 1.01762e-006
      3304.00 1.01292e-006
      3305.00 1.01280e-006
      3306.00 1.01438e-006
      3307.00 1.01632e-006
      3308.00 1.01733e-006
      3309.00 1.01439e-006
      3310.00 1.00457e-006
      3311.00 9.97820e-007
      3312.00 9.98938e-007
      3313.00 1.00186e-006
      3314.00 1.00592e-006
      3315.00 1.01024e-006
      3316.00 1.01382e-006
      3317.00 1.01737e-006
      3318.00 1.02057e-006
      3319.00 1.02301e-006
      3320.00 1.02535e-006
      3321.00 1.02709e-006
      3322.00 1.02865e-006
      3323.00 1.02977e-006
      3324.00 1.03083e-006
      3325.00 1.03143e-006
      3326.00 1.03149e-006
      3327.00 1.03088e-006
      3328.00 1.02970e-006
      3329.00 1.02768e-006
      3330.00 1.02566e-006
      3331.00 1.02439e-006
      3332.00 1.02358e-006
      3333.00 1.02295e-006
      3334.00 1.02155e-006
      3335.00 1.01743e-006
      3336.00 1.00975e-006
      3337.00 1.00378e-006
      3338.00 1.00227e-006
      3339.00 1.00436e-006
      3340.00 1.00782e-006
      3341.00 1.01156e-006
      3342.00 1.01549e-006
      3343.00 1.01887e-006
      3344.00 1.02169e-006
      3345.00 1.02391e-006
      3346.00 1.02554e-006
      3347.00 1.02628e-006
      3348.00 1.02722e-006
      3349.00 1.02828e-006
      3350.00 1.02925e-006
      3351.00 1.03033e-006
      3352.00 1.03103e-006
      3353.00 1.03148e-006
      3354.00 1.03167e-006
      3355.00 1.03173e-006
      3356.00 1.03156e-006
      3357.00 1.02966e-006
      3358.00 1.02798e-006
      3359.00 1.02637e-006
      3360.00 1.02443e-006
      3361.00 1.02222e-006
      3362.00 1.01931e-006
      3363.00 1.01582e-006
      3364.00 1.01156e-006
      3365.00 1.00799e-006
      3366.00 1.00571e-006
      3367.00 1.00660e-006
      3368.00 1.00763e-006
      3369.00 1.00831e-006
      3370.00 1.00754e-006
      3371.00 1.00489e-006
      3372.00 1.00045e-006
      3373.00 9.98446e-007
      3374.00 9.99357e-007
      3375.00 1.00176e-006
      3376.00 1.00442e-006
      3377.00 1.00775e-006
      3378.00 1.01103e-006
      3379.00 1.01382e-006
      3380.00 1.01651e-006
      3381.00 1.01896e-006
      3382.00 1.02145e-006
      3383.00 1.02364e-006
      3384.00 1.02563e-006
      3385.00 1.02753e-006
      3386.00 1.02906e-006
      3387.00 1.02977e-006
      3388.00 1.03075e-006
      3389.00 1.03155e-006
      3390.00 1.03211e-006
      3391.00 1.03262e-006
      3392.00 1.03313e-006
      3393.00 1.03349e-006
      3394.00 1.03365e-006
      3395.00 1.03392e-006
      3396.00 1.03443e-006
      3397.00 1.03509e-006
      3398.00 1.03549e-006
      3399.00 1.03536e-006
      3400.00 1.03390e-006
      3401.00 1.03178e-006
      3402.00 1.03066e-006
      3403.00 1.03135e-006
      3404.00 1.03275e-006
      3405.00 1.03448e-006
      3406.00 1.03613e-006
      3407.00 1.03591e-006
      3408.00 1.03563e-006
      3409.00 1.03520e-006
      3410.00 1.03466e-006
      3411.00 1.03403e-006
      3412.00 1.03332e-006
      3413.00 1.03252e-006
      3414.00 1.03163e-006
      3415.00 1.03066e-006
      3416.00 1.02967e-006
