# spectrum acquired about 2 hrs after the trigger. Magnitude ~ 16/17
# Ang	10^-16 erg/cm^2/s/Angstrom
	  3.0243845E+03	      0.0000000E+00             
          3.0244089E+03       0.0000000E+00             
          3.0244333E+03       0.0000000E+00             
          3.0244575E+03       0.0000000E+00             
          3.0244819E+03       0.0000000E+00             
          3.0245063E+03       0.0000000E+00             
          3.0245305E+03       0.0000000E+00             
          3.0245549E+03       0.0000000E+00             
          3.0245793E+03       0.0000000E+00             
          3.0246035E+03       0.0000000E+00             
          3.0246279E+03       0.0000000E+00             
          3.0246521E+03       0.0000000E+00             
          3.0246765E+03       0.0000000E+00             
          3.0247009E+03       0.0000000E+00             
          3.0247251E+03       0.0000000E+00             
          3.0247495E+03       0.0000000E+00             
          3.0247739E+03       0.0000000E+00             
          3.0247981E+03       0.0000000E+00             
          3.0248225E+03       0.0000000E+00             
          3.0248469E+03       0.0000000E+00             
          3.0248711E+03       0.0000000E+00             
          3.0248955E+03       0.0000000E+00             
          3.0249199E+03       0.0000000E+00             
          3.0249441E+03       0.0000000E+00             
          3.0249685E+03       0.0000000E+00             
          3.0249927E+03       0.0000000E+00             
          3.0250171E+03       0.0000000E+00             
          3.0250415E+03       0.0000000E+00             
          3.0250657E+03       0.0000000E+00             
          3.0250901E+03       0.0000000E+00             
          3.0251145E+03       0.0000000E+00             
          3.0251387E+03       0.0000000E+00             
          3.0251631E+03       0.0000000E+00             
          3.0251875E+03       0.0000000E+00             
          3.0252117E+03       0.0000000E+00             
          3.0252361E+03       0.0000000E+00             
          3.0252605E+03       0.0000000E+00             
          3.0252847E+03       0.0000000E+00             
          3.0253091E+03       0.0000000E+00             
          3.0253333E+03       0.0000000E+00             
          3.0253577E+03       0.0000000E+00             
          3.0253821E+03       0.0000000E+00             
          3.0254062E+03       0.0000000E+00             
          3.0254307E+03       0.0000000E+00             
          3.0254551E+03       0.0000000E+00             
          3.0254792E+03       0.0000000E+00             
          3.0255037E+03       0.0000000E+00             
          3.0255281E+03       0.0000000E+00             
          3.0255522E+03       0.0000000E+00             
          3.0255767E+03       0.0000000E+00             
          3.0256011E+03       0.0000000E+00             
          3.0256252E+03       0.0000000E+00             
          3.0256497E+03       0.0000000E+00             
          3.0256738E+03       0.0000000E+00             
          3.0256982E+03       0.0000000E+00             
          3.0257227E+03       0.0000000E+00             
          3.0257468E+03       0.0000000E+00             
          3.0257712E+03       0.0000000E+00             
          3.0257957E+03       0.0000000E+00             
          3.0258198E+03       0.0000000E+00             
          3.0258442E+03       0.0000000E+00             
          3.0258687E+03       0.0000000E+00             
          3.0258928E+03       0.0000000E+00             
          3.0259172E+03       0.0000000E+00             
          3.0259417E+03       0.0000000E+00             
          3.0259658E+03       0.0000000E+00             
          3.0259902E+03       0.0000000E+00             
          3.0260144E+03       0.0000000E+00             
          3.0260388E+03       0.0000000E+00             
          3.0260632E+03       0.0000000E+00             
          3.0260874E+03       0.0000000E+00             
          3.0261118E+03       0.0000000E+00             
          3.0261362E+03       0.0000000E+00             
          3.0261604E+03       0.0000000E+00             
          3.0261848E+03       0.0000000E+00             
          3.0262092E+03       0.0000000E+00             
          3.0262334E+03       0.0000000E+00             
          3.0262578E+03       0.0000000E+00             
          3.0262822E+03       0.0000000E+00             
          3.0263064E+03       0.0000000E+00             
          3.0263308E+03       0.0000000E+00             
          3.0263550E+03       0.0000000E+00             
          3.0263794E+03       0.0000000E+00             
          3.0264038E+03       0.0000000E+00             
          3.0264280E+03       0.0000000E+00             
          3.0264524E+03       0.0000000E+00             
          3.0264768E+03       0.0000000E+00             
          3.0265010E+03       0.0000000E+00             
          3.0265254E+03       0.0000000E+00             
          3.0265498E+03       0.0000000E+00             
          3.0265740E+03       0.0000000E+00             
          3.0265984E+03       0.0000000E+00             
          3.0266228E+03       0.0000000E+00             
          3.0266470E+03       0.0000000E+00             
          3.0266714E+03       0.0000000E+00             
          3.0266956E+03       0.0000000E+00             
          3.0267200E+03       0.0000000E+00             
          3.0267444E+03       0.0000000E+00             
          3.0267686E+03       0.0000000E+00             
          3.0267930E+03       0.0000000E+00             
          3.0268174E+03       0.0000000E+00             
          3.0268416E+03       0.0000000E+00             
          3.0268660E+03       0.0000000E+00             
          3.0268904E+03       0.0000000E+00             
          3.0269146E+03       0.0000000E+00             
          3.0269390E+03       0.0000000E+00             
          3.0269634E+03       0.0000000E+00             
          3.0269875E+03       0.0000000E+00             
          3.0270120E+03       0.0000000E+00             
          3.0270361E+03       0.0000000E+00             
          3.0270605E+03       0.0000000E+00             
          3.0270850E+03       0.0000000E+00             
          3.0271091E+03       0.0000000E+00             
          3.0271335E+03       0.0000000E+00             
          3.0271580E+03       0.0000000E+00             
          3.0271821E+03       0.0000000E+00             
          3.0272065E+03       0.0000000E+00             
          3.0272310E+03       0.0000000E+00             
          3.0272551E+03       0.0000000E+00             
          3.0272795E+03       0.0000000E+00             
          3.0273040E+03       0.0000000E+00             
          3.0273281E+03       0.0000000E+00             
          3.0273525E+03       0.0000000E+00             
          3.0273767E+03       0.0000000E+00             
          3.0274011E+03       0.0000000E+00             
          3.0274255E+03       0.0000000E+00             
          3.0274497E+03       0.0000000E+00             
          3.0274741E+03       0.0000000E+00             
          3.0274985E+03       0.0000000E+00             
          3.0275227E+03       0.0000000E+00             
          3.0275471E+03       0.0000000E+00             
          3.0275715E+03       0.0000000E+00             
          3.0275957E+03       0.0000000E+00             
          3.0276201E+03       0.0000000E+00             
          3.0276445E+03       0.0000000E+00             
          3.0276687E+03       0.0000000E+00             
          3.0276931E+03       0.0000000E+00             
          3.0277173E+03       0.0000000E+00             
          3.0277417E+03       0.0000000E+00             
          3.0277661E+03       0.0000000E+00             
          3.0277903E+03       0.0000000E+00             
          3.0278147E+03       0.0000000E+00             
          3.0278391E+03       0.0000000E+00             
          3.0278633E+03       0.0000000E+00             
          3.0278877E+03       0.0000000E+00             
          3.0279121E+03       0.0000000E+00             
          3.0279363E+03       0.0000000E+00             
          3.0279607E+03       0.0000000E+00             
          3.0279851E+03       0.0000000E+00             
          3.0280093E+03       0.0000000E+00             
          3.0280337E+03       0.0000000E+00             
          3.0280579E+03       0.0000000E+00             
          3.0280823E+03       0.0000000E+00             
          3.0281067E+03       0.0000000E+00             
          3.0281309E+03       0.0000000E+00             
          3.0281553E+03       0.0000000E+00             
          3.0281797E+03       0.0000000E+00             
          3.0282039E+03       0.0000000E+00             
          3.0282283E+03       0.0000000E+00             
          3.0282527E+03       0.0000000E+00             
          3.0282769E+03       0.0000000E+00             
          3.0283013E+03       0.0000000E+00             
          3.0283257E+03       0.0000000E+00             
          3.0283499E+03       0.0000000E+00             
          3.0283743E+03       0.0000000E+00             
          3.0283984E+03       0.0000000E+00             
          3.0284229E+03       0.0000000E+00             
          3.0284473E+03       0.0000000E+00             
          3.0284714E+03       0.0000000E+00             
          3.0284958E+03       0.0000000E+00             
          3.0285203E+03       0.0000000E+00             
          3.0285444E+03       0.0000000E+00             
          3.0285688E+03       0.0000000E+00             
          3.0285933E+03       0.0000000E+00             
          3.0286174E+03       0.0000000E+00             
          3.0286418E+03       0.0000000E+00             
          3.0286663E+03       0.0000000E+00             
          3.0286904E+03       0.0000000E+00             
          3.0287148E+03       0.0000000E+00             
          3.0287390E+03       0.0000000E+00             
          3.0287634E+03       0.0000000E+00             
          3.0287878E+03       0.0000000E+00             
          3.0288120E+03       0.0000000E+00             
          3.0288364E+03       0.0000000E+00             
          3.0288608E+03       0.0000000E+00             
          3.0288850E+03       0.0000000E+00             
          3.0289094E+03       0.0000000E+00             
          3.0289338E+03       0.0000000E+00             
          3.0289580E+03       0.0000000E+00             
          3.0289824E+03       0.0000000E+00             
          3.0290068E+03       0.0000000E+00             
          3.0290310E+03       0.0000000E+00             
          3.0290554E+03       0.0000000E+00             
          3.0290796E+03       0.0000000E+00             
          3.0291040E+03       0.0000000E+00             
          3.0291284E+03       0.0000000E+00             
          3.0291526E+03       0.0000000E+00             
          3.0291770E+03       0.0000000E+00             
          3.0292014E+03       0.0000000E+00             
          3.0292256E+03       0.0000000E+00             
          3.0292500E+03       0.0000000E+00             
          3.0292744E+03       0.0000000E+00             
          3.0292986E+03       0.0000000E+00             
          3.0293230E+03       0.0000000E+00             
          3.0293474E+03       0.0000000E+00             
          3.0293716E+03       0.0000000E+00             
          3.0293960E+03       0.0000000E+00             
          3.0294202E+03       0.0000000E+00             
          3.0294446E+03       0.0000000E+00             
          3.0294690E+03       0.0000000E+00             
          3.0294932E+03       0.0000000E+00             
          3.0295176E+03       0.0000000E+00             
          3.0295420E+03       0.0000000E+00             
          3.0295662E+03       0.0000000E+00             
          3.0295906E+03       0.0000000E+00             
          3.0296150E+03       0.0000000E+00             
          3.0296392E+03       0.0000000E+00             
          3.0296636E+03       0.0000000E+00             
          3.0296880E+03       0.0000000E+00             
          3.0297122E+03       0.0000000E+00             
          3.0297366E+03       0.0000000E+00             
          3.0297607E+03       0.0000000E+00             
          3.0297852E+03       0.0000000E+00             
          3.0298096E+03       0.0000000E+00             
          3.0298337E+03       0.0000000E+00             
          3.0298582E+03       0.0000000E+00             
          3.0298826E+03       0.0000000E+00             
          3.0299067E+03       0.0000000E+00             
          3.0299312E+03       0.0000000E+00             
          3.0299556E+03       0.0000000E+00             
          3.0299797E+03       0.0000000E+00             
          3.0300042E+03       0.0000000E+00             
          3.0300286E+03       0.0000000E+00             
          3.0300527E+03       0.0000000E+00             
          3.0300771E+03       0.0000000E+00             
          3.0301013E+03       0.0000000E+00             
          3.0301257E+03       0.0000000E+00             
          3.0301501E+03       0.0000000E+00             
          3.0301743E+03       0.0000000E+00             
          3.0301987E+03       0.0000000E+00             
          3.0302231E+03       0.0000000E+00             
          3.0302473E+03       0.0000000E+00             
          3.0302717E+03       0.0000000E+00             
          3.0302961E+03       0.0000000E+00             
          3.0303203E+03       0.0000000E+00             
          3.0303447E+03       0.0000000E+00             
          3.0303691E+03       0.0000000E+00             
