# spectrum acquired about 8 hr after the trigger. Magnitude ~ 12
# Ang	10^-16 erg/cm^2/s/Angstrom
	  3.7319700E+03        0.0000000E+00       
          3.7319983E+03        0.0000000E+00       
          3.7320269E+03        0.0000000E+00       
          3.7320554E+03        0.0000000E+00       
          3.7320837E+03        0.0000000E+00       
          3.7321123E+03        0.0000000E+00       
          3.7321406E+03        0.0000000E+00       
          3.7321692E+03        0.0000000E+00       
          3.7321975E+03        0.0000000E+00       
          3.7322261E+03        0.0000000E+00       
          3.7322544E+03        0.0000000E+00       
          3.7322830E+03        0.0000000E+00       
          3.7323113E+03        0.0000000E+00       
          3.7323398E+03        0.0000000E+00       
          3.7323682E+03        0.0000000E+00       
          3.7323967E+03        0.0000000E+00       
          3.7324250E+03        0.0000000E+00       
          3.7324536E+03        0.0000000E+00       
          3.7324822E+03        0.0000000E+00       
          3.7325105E+03        0.0000000E+00       
          3.7325391E+03        0.0000000E+00       
          3.7325674E+03        0.0000000E+00       
          3.7325959E+03        0.0000000E+00       
          3.7326243E+03        0.0000000E+00       
          3.7326528E+03        0.0000000E+00       
          3.7326812E+03        0.0000000E+00       
          3.7327097E+03        0.0000000E+00       
          3.7327380E+03        0.0000000E+00       
          3.7327666E+03        0.0000000E+00       
          3.7327949E+03        0.0000000E+00       
          3.7328235E+03        0.0000000E+00       
          3.7328521E+03        0.0000000E+00       
          3.7328804E+03        0.0000000E+00       
          3.7329089E+03        0.0000000E+00       
          3.7329373E+03        0.0000000E+00       
          3.7329658E+03        0.0000000E+00       
          3.7329941E+03        0.0000000E+00       
          3.7330227E+03        0.0000000E+00       
          3.7330510E+03        0.0000000E+00       
          3.7330796E+03        0.0000000E+00       
          3.7331079E+03        0.0000000E+00       
          3.7331365E+03        0.0000000E+00       
          3.7331648E+03        0.0000000E+00       
          3.7331934E+03        0.0000000E+00       
          3.7332219E+03        0.0000000E+00       
          3.7332502E+03        0.0000000E+00       
          3.7332788E+03        0.0000000E+00       
          3.7333071E+03        0.0000000E+00       
          3.7333357E+03        0.0000000E+00       
          3.7333640E+03        0.0000000E+00       
          3.7333926E+03        0.0000000E+00       
          3.7334209E+03        0.0000000E+00       
          3.7334495E+03        0.0000000E+00       
          3.7334778E+03        0.0000000E+00       
          3.7335063E+03        0.0000000E+00       
          3.7335347E+03        0.0000000E+00       
          3.7335632E+03        0.0000000E+00       
          3.7335918E+03        0.0000000E+00       
          3.7336201E+03        0.0000000E+00       
          3.7336487E+03        0.0000000E+00       
          3.7336770E+03        0.0000000E+00       
          3.7337056E+03        0.0000000E+00       
          3.7337339E+03        0.0000000E+00       
          3.7337625E+03        0.0000000E+00       
          3.7337908E+03        0.0000000E+00       
          3.7338193E+03        0.0000000E+00       
          3.7338477E+03        0.0000000E+00       
          3.7338762E+03        0.0000000E+00       
          3.7339045E+03        0.0000000E+00       
          3.7339331E+03        0.0000000E+00       
          3.7339614E+03        0.0000000E+00       
          3.7339900E+03        0.0000000E+00       
          3.7340186E+03        0.0000000E+00       
          3.7340469E+03        0.0000000E+00       
          3.7340754E+03        0.0000000E+00       
          3.7341038E+03        0.0000000E+00       
          3.7341323E+03        0.0000000E+00       
          3.7341606E+03        0.0000000E+00       
          3.7341892E+03        0.0000000E+00       
          3.7342175E+03        0.0000000E+00       
          3.7342461E+03        0.0000000E+00       
          3.7342744E+03        0.0000000E+00       
          3.7343030E+03        0.0000000E+00       
          3.7343313E+03        0.0000000E+00       
          3.7343599E+03        0.0000000E+00       
          3.7343884E+03        0.0000000E+00       
          3.7344167E+03        0.0000000E+00       
          3.7344453E+03        0.0000000E+00       
          3.7344736E+03        0.0000000E+00       
          3.7345022E+03        0.0000000E+00       
          3.7345305E+03        0.0000000E+00       
          3.7345591E+03        0.0000000E+00       
          3.7345874E+03        0.0000000E+00       
          3.7346160E+03        0.0000000E+00       
          3.7346443E+03        0.0000000E+00       
          3.7346729E+03        0.0000000E+00       
          3.7347012E+03        0.0000000E+00       
          3.7347297E+03        0.0000000E+00       
          3.7347583E+03        0.0000000E+00       
          3.7347866E+03        0.0000000E+00       
          3.7348152E+03        0.0000000E+00       
          3.7348435E+03        0.0000000E+00       
          3.7348721E+03        0.0000000E+00       
          3.7349004E+03        0.0000000E+00       
          3.7349290E+03        0.0000000E+00       
          3.7349573E+03        0.0000000E+00       
          3.7349858E+03        0.0000000E+00       
          3.7350142E+03        0.0000000E+00       
          3.7350427E+03        0.0000000E+00       
          3.7350710E+03        0.0000000E+00       
          3.7350996E+03        0.0000000E+00       
          3.7351282E+03        0.0000000E+00       
          3.7351565E+03        0.0000000E+00       
          3.7351851E+03        0.0000000E+00       
          3.7352134E+03        0.0000000E+00       
          3.7352419E+03        0.0000000E+00       
          3.7352703E+03        0.0000000E+00       
          3.7352988E+03        0.0000000E+00       
          3.7353271E+03        0.0000000E+00       
          3.7353557E+03        0.0000000E+00       
          3.7353840E+03        0.0000000E+00       
          3.7354126E+03        0.0000000E+00       
          3.7354409E+03        0.0000000E+00       
          3.7354695E+03        0.0000000E+00       
          3.7354978E+03        0.0000000E+00       
          3.7355264E+03        0.0000000E+00       
          3.7355549E+03        0.0000000E+00       
          3.7355833E+03        0.0000000E+00       
          3.7356118E+03        0.0000000E+00       
          3.7356401E+03        0.0000000E+00       
          3.7356687E+03        0.0000000E+00       
          3.7356970E+03        0.0000000E+00       
          3.7357256E+03        0.0000000E+00       
          3.7357539E+03        0.0000000E+00       
          3.7357825E+03        0.0000000E+00       
          3.7358108E+03        0.0000000E+00       
          3.7358394E+03        0.0000000E+00       
          3.7358677E+03        0.0000000E+00       
          3.7358962E+03        0.0000000E+00       
          3.7359248E+03        0.0000000E+00       
          3.7359531E+03        0.0000000E+00       
          3.7359817E+03        0.0000000E+00       
          3.7360100E+03        0.0000000E+00       
          3.7360386E+03        0.0000000E+00       
          3.7360669E+03        0.0000000E+00       
          3.7360955E+03        0.0000000E+00       
          3.7361238E+03        0.0000000E+00       
          3.7361523E+03        0.0000000E+00       
          3.7361807E+03        0.0000000E+00       
          3.7362092E+03        0.0000000E+00       
          3.7362375E+03        0.0000000E+00       
          3.7362661E+03        0.0000000E+00       
          3.7362947E+03        0.0000000E+00       
          3.7363230E+03        0.0000000E+00       
          3.7363516E+03        0.0000000E+00       
          3.7363799E+03        0.0000000E+00       
          3.7364084E+03        0.0000000E+00       
          3.7364368E+03        0.0000000E+00       
          3.7364653E+03        0.0000000E+00       
          3.7364937E+03        0.0000000E+00       
          3.7365222E+03        0.0000000E+00       
          3.7365505E+03        0.0000000E+00       
          3.7365791E+03        0.0000000E+00       
          3.7366074E+03        0.0000000E+00       
