x model
473.36303 3.3277339
473.37881995442683 3.3277338
473.3946104355587 3.3277338
473.410401443413 3.6922623
473.42619297800746 3.7987141
473.4419850393596 3.7987141
473.7105306932999 3.9619684
473.72633223929546 3.9619684
473.74213431238275 3.9619683
473.75793691257917 3.9619683
473.77374003990246 3.9619683
473.78954369436997 3.9619682
473.80534787599964 3.9619682
473.8211525848087 3.9619682
473.83695782081503 3.9619681
473.852763584036 3.9619681
473.8685698744893 3.9619681
473.8843766921925 3.961968
473.9001840371631 3.961968
473.9159919094189 3.9619679
473.93180030897724 3.9619679
473.94760923585585 3.9619679
473.96341869007233 3.9619678
473.9792286716442 3.9619678
473.9950391805891 3.9619677
474.0108502169246 3.9619677
474.0266617806683 3.9619676
474.0424738718378 3.9619676
474.0582864904507 3.9619675
474.0740996365246 3.9619675
474.089913310077 3.9619674
474.1057275111256 3.9619674
474.1215422396879 3.9619673
474.13735749578166 3.9619673
474.1531732794244 3.9619672
474.1689895906336 3.9619672
474.1848064294269 3.9619671
474.200623795822 3.9619671
474.2164416898367 3.961967
474.2322601114881 3.9619669
474.2480790607941 3.9619669
474.2638985377722 3.9619668
474.27971854244015 3.9619667
474.29553907481534 3.9619667
474.3113601349155 3.9619666
474.3271817227583 3.9619665
474.34300383836126 3.9619665
474.35882648174197 3.9619664
474.3746496529181 3.9619663
474.39047335190713 3.9619662
474.40629757872676 3.9619662
474.42212233339467 3.9619661
474.43794761592835 3.961966
474.45377342634526 3.9619659
474.4695997646635 3.9619658
474.48542663090006 3.9619657
474.501254025073 3.9619656
474.5170819471998 3.9619655
474.5329103972981 3.9619654
474.5487393753854 3.9619653
474.5645688814793 3.9619652
474.5803989155977 3.9619651
474.5962294777579 3.961965
474.61206056797766 3.9619649
474.62789218627444 3.9619648
474.643724332666 3.9619647
474.65955700717006 3.9619645
474.67539020980394 3.9619644
474.69122394058553 3.9619643
474.7070581995323 3.9619641
474.7228929866619 3.961964
474.7387283019919 4.0117476
474.75456414554003 4.1741088
474.77040051732394 4.1741087
474.786237417361 4.1741085
474.8020748456691 4.1741083
474.8179128022657 4.1741082
474.8337512871686 4.174108
474.8495903003951 4.1741078
474.86542984196313 4.1741076
474.8812699118903 4.1741074
474.897110510194 4.1741072
474.912951636892 4.174107
474.928793292002 4.1741067
474.94463547554153 4.1741065
474.9604781875281 4.1741063
474.97632142797966 4.174106
474.9921651969137 4.1741057
475.00800949434756 4.1741055
475.0238543202993 4.1741052
475.0396996747862 4.1741049
475.0555455578262 4.1741046
475.0713919694367 4.1741043
475.0872389096354 4.1741039
475.10308637844 4.1741036
475.118934375868 4.1741032
475.13478290193717 4.1741028
475.15063195666505 4.1741024
475.16648154006936 4.174102
475.1823316521676 4.1741016
475.1981822929776 4.1741011
475.2140334625168 4.1741007
475.2298851608029 4.1741002
475.24573738785364 4.1740996
475.26159014368653 4.1740991
475.2774434283192 4.1740985
475.2932972417694 4.1740979
475.3091515840548 4.1740973
475.32500645519286 4.1740966
475.34086185520124 4.1740959
475.35671778409784 4.1740951
475.37257424189994 4.1740944
475.3884312286255 4.1740935
475.4042887442919 4.1740926
475.42014678891695 4.1740917
475.43600536251836 4.1740907
475.45186446511354 4.1740896
475.46772409672036 4.1740885
475.48358425735637 4.1740873
475.4994449470391 4.174086
475.5153061657864 4.1740846
475.5311679136157 4.1740831
475.547030190545 4.1740815
