# Sz88A_XS_bin1_Av3_0 
# wave (A)   flux (erg/s/cm^2/A)      
 3000.000  0.00000e+00
 3001.000  0.00000e+00
 3002.000  0.00000e+00
 3003.000  0.00000e+00
 3004.000  0.00000e+00
 3005.000  0.00000e+00
 3006.000  0.00000e+00
 3007.000  0.00000e+00
 3008.000  0.00000e+00
 3009.000  0.00000e+00
 3010.000  0.00000e+00
 3011.000  0.00000e+00
 3012.000  0.00000e+00
 3013.000  0.00000e+00
 3014.000  0.00000e+00
 3015.000  0.00000e+00
 3016.000  0.00000e+00
 3017.000  0.00000e+00
 3018.000  0.00000e+00
 3019.000  0.00000e+00
 3020.000  0.00000e+00
 3021.000  0.00000e+00
 3022.000  0.00000e+00
 3023.000  0.00000e+00
 3024.000  0.00000e+00
 3025.000  0.00000e+00
 3026.000  0.00000e+00
 3027.000  0.00000e+00
 3028.000  0.00000e+00
 3029.000  0.00000e+00
 3030.000  0.00000e+00
 3031.000  0.00000e+00
 3032.000  0.00000e+00
 3033.000  0.00000e+00
 3034.000  0.00000e+00
 3035.000  0.00000e+00
 3036.000  0.00000e+00
 3037.000  0.00000e+00
 3038.000  0.00000e+00
 3039.000  0.00000e+00
 3040.000  0.00000e+00
 3041.000  0.00000e+00
 3042.000  0.00000e+00
 3043.000  0.00000e+00
 3044.000  0.00000e+00
 3045.000  0.00000e+00
 3046.000  0.00000e+00
 3047.000  0.00000e+00
 3048.000  0.00000e+00
 3049.000  0.00000e+00
 3050.000  0.00000e+00
 3051.000  0.00000e+00
 3052.000  0.00000e+00
 3053.000  0.00000e+00
 3054.000  0.00000e+00
 3055.000  0.00000e+00
 3056.000  0.00000e+00
 3057.000  0.00000e+00
 3058.000  0.00000e+00
 3059.000  0.00000e+00
 3060.000  0.00000e+00
 3061.000  0.00000e+00
 3062.000  0.00000e+00
 3063.000  0.00000e+00
 3064.000  0.00000e+00
 3065.000  0.00000e+00
 3066.000  0.00000e+00
 3067.000  0.00000e+00
 3068.000  0.00000e+00
 3069.000  0.00000e+00
 3070.000  0.00000e+00
 3071.000  0.00000e+00
 3072.000  0.00000e+00
 3073.000  0.00000e+00
 3074.000  0.00000e+00
 3075.000  0.00000e+00
 3076.000  0.00000e+00
 3077.000  0.00000e+00
 3078.000  0.00000e+00
 3079.000  0.00000e+00
 3080.000  0.00000e+00
 3081.000  0.00000e+00
 3082.000  0.00000e+00
 3083.000  0.00000e+00
 3084.000  0.00000e+00
 3085.000  0.00000e+00
 3086.000  0.00000e+00
 3087.000  0.00000e+00
 3088.000  0.00000e+00
 3089.000  0.00000e+00
 3090.000  0.00000e+00
 3091.000  0.00000e+00
 3092.000  0.00000e+00
 3093.000  0.00000e+00
 3094.000  0.00000e+00
 3095.000  0.00000e+00
 3096.000  0.00000e+00
 3097.000  0.00000e+00
 3098.000  0.00000e+00
 3099.000  0.00000e+00
 3100.000  0.00000e+00
 3101.000  0.00000e+00
 3102.000  0.00000e+00
 3103.000  0.00000e+00
 3104.000  0.00000e+00
 3105.000  0.00000e+00
 3106.000  0.00000e+00
 3107.000  0.00000e+00
 3108.000  0.00000e+00
 3109.000  0.00000e+00
 3110.000  0.00000e+00
 3111.000  0.00000e+00
 3112.000  0.00000e+00
 3113.000  0.00000e+00
 3114.000  0.00000e+00
 3115.000  0.00000e+00
 3116.000  0.00000e+00
 3117.000  0.00000e+00
 3118.000  0.00000e+00
 3119.000  0.00000e+00
 3120.000  0.00000e+00
 3121.000  0.00000e+00
 3122.000  0.00000e+00
 3123.000  0.00000e+00
 3124.000  0.00000e+00
 3125.000  0.00000e+00
 3126.000  0.00000e+00
 3127.000  0.00000e+00
 3128.000  0.00000e+00
 3129.000  0.00000e+00
 3130.000  0.00000e+00
 3131.000  0.00000e+00
 3132.000  0.00000e+00
 3133.000  0.00000e+00
 3134.000  0.00000e+00
 3135.000  0.00000e+00
 3136.000  0.00000e+00
 3137.000  0.00000e+00
 3138.000  0.00000e+00
 3139.000  0.00000e+00
 3140.000  0.00000e+00
 3141.000  0.00000e+00
 3142.000  0.00000e+00
 3143.000  0.00000e+00
 3144.000  0.00000e+00
 3145.000  0.00000e+00
 3146.000  0.00000e+00
 3147.000  0.00000e+00
 3148.000  0.00000e+00
 3149.000  0.00000e+00
 3150.000  0.00000e+00
 3151.000  0.00000e+00
 3152.000  0.00000e+00
 3153.000  0.00000e+00
 3154.000  0.00000e+00
 3155.000  0.00000e+00
 3156.000  0.00000e+00
 3157.000  0.00000e+00
 3158.000  0.00000e+00
 3159.000  0.00000e+00
 3160.000  0.00000e+00
 3161.000  0.00000e+00
 3162.000  0.00000e+00
 3163.000  0.00000e+00
 3164.000  0.00000e+00
 3165.000  0.00000e+00
 3166.000  0.00000e+00
 3167.000  0.00000e+00
 3168.000  0.00000e+00
 3169.000  0.00000e+00
 3170.000  0.00000e+00
 3171.000  0.00000e+00
 3172.000  0.00000e+00
 3173.000  0.00000e+00
 3174.000  0.00000e+00
 3175.000  0.00000e+00
 3176.000  0.00000e+00
 3177.000  0.00000e+00
 3178.000  0.00000e+00
 3179.000  0.00000e+00
 3180.000  0.00000e+00
 3181.000  0.00000e+00
 3182.000  0.00000e+00
 3183.000  0.00000e+00
 3184.000  0.00000e+00
 3185.000  0.00000e+00
 3186.000  0.00000e+00
 3187.000  0.00000e+00
 3188.000  0.00000e+00
 3189.000  0.00000e+00
 3190.000  0.00000e+00
 3191.000  0.00000e+00
 3192.000  0.00000e+00
 3193.000  0.00000e+00
 3194.000  0.00000e+00
 3195.000  0.00000e+00
 3196.000  0.00000e+00
 3197.000  0.00000e+00
 3198.000  0.00000e+00
 3199.000  0.00000e+00
 3200.000  0.00000e+00
 3201.000  0.00000e+00
 3202.000  0.00000e+00
 3203.000  0.00000e+00
 3204.000  0.00000e+00
 3205.000  0.00000e+00
 3206.000  0.00000e+00
 3207.000  0.00000e+00
 3208.000  0.00000e+00
 3209.000  0.00000e+00
 3210.000  0.00000e+00
 3211.000  0.00000e+00
 3212.000  0.00000e+00
 3213.000  0.00000e+00
 3214.000  0.00000e+00
 3215.000  0.00000e+00
 3216.000  0.00000e+00
 3217.000  0.00000e+00
 3218.000  0.00000e+00
 3219.000  0.00000e+00
 3220.000  0.00000e+00
 3221.000  0.00000e+00
 3222.000  0.00000e+00
 3223.000  0.00000e+00
 3224.000  0.00000e+00
 3225.000  0.00000e+00
 3226.000  0.00000e+00
